http://47.120.41.246:8899/zb.txt,#genre#
纬来精彩,http://61.221.215.25:8800/hls/48/index.m3u8
amc电影,http://61.221.215.25:8800/hls/43/index.m3u8
ASC搜索,http://61.221.215.25:8800/hls/50/index.m3u8
Diso综合,http://61.221.215.25:8800/hls/1/index.m3u8
民视闽南,http://37.27.111.214:8080/live/6/hls.m3u8
中视闽南,http://37.27.111.214:8080/live/7/hls.m3u8
华视闽南,http://37.27.111.214:8080/live/8/hls.m3u8
猪哥亮歌厅国,http://37.27.111.214:8080/live/35/hls.m3u8
亚洲旅游,http://37.27.111.214:8080/live/10/hls.m3u8
博斯高球,http://37.27.111.214:8080/live/13/hls.m3u8
博斯无限,http://37.27.111.214:8080/live/15/hls.m3u8
HISTORY,http://37.27.111.214:8080/live/27/hls.m3u8
HITs电影,http://37.27.111.214:8080/live/28/hls.m3u8
CINEMA-,http://37.27.111.214:8080/live/30/hls.m3u8
耀才财经,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
香港面包,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8?
亚洲卫视,https://p2hs.vzan.com/slowlive/821481626725612417/live.m3u8
星空卫视,http://wouu.net:9977/udp/239.93.0.156:2193
面包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
点掌财经,https://wsvideo.aniu.tv/live/aniu/playlist.m3u8
三立新闻,https://epg.pw/stream/6b49e3faa38adda85abab446f032dc1e686baa0760a9cfa66e2df8fd6fe3b445.m3u8
星空卫视,http://wouu.net:9977/rtp/239.93.1.10:2193
翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
港台电视33,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream03/streamPlaylist.m3u8
港台电视34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream02/streamPlaylist.m3u8
港台电视35,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
澳视澳门,http://61.244.22.5/ch1/ch1.live/playelist.m3u8
澳视卫星,http://61.244.22.5/ch3/ch3.live/index.m3u8
澳视综艺,http://61.244.22.5/ch6/hd_ch6.live/playlist.m3u8
澳视葡文,http://61.244.22.5/ch2/ch2.live/index.m3u8
澳门体育,http://61.244.22.5/ch4/sport_ch4.live/playelist.m3u8
环球电视,http://zb.xzxwhcb.com:9999/hls/world.m3u8
ASTV亚洲卫视,https://play-hsbj.vzan.com/slowlive/821481626725612417/live.m3u8?zbid=2046370057&tpid=330913109&type=0
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct3
三立戏剧,http://61.221.215.25:8800/hls/41/index.m3u8
中天娱乐,http://61.221.215.25:8800/hls/47/index.m3u8
八大第壹,http://61.221.215.25:8800/hls/55/index.m3u8
八大综合,http://61.221.215.25:8800/hls/56/index.m3u8
动物星球,http://61.221.215.25:8800/hls/57/index.m3u8
龙华电影,http://37.27.111.214:8080/live/19/hls.m3u8
广州法治,https://tencentplay.gztv.com/live/fazhi.m3u8?txSecret=040cda8ae37088f2b96bea7b68bd0eb5&txTime=1903e5b8abe
广州南国都市,https://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=550af55c0ea34ce492748481415b6dfa&txTime=1903e7b17de
东莞综合,https://stream.sun0769.com/dgrtv1/mp4tv1_1500/index.m3u8
东莞生活资讯,https://stream.sun0769.com/dgrtv1/mp4tv2_1500/index.m3u8
梅州综合,http://pili-live-hls.xianchangliving.gdmztv.com:80/meizhou-xianchangliving/mztv1.m3u8
客家生活,http://pili-live-hls.xianchangliving.gdmztv.com:80/meizhou-xianchangliving/mztv2.m3u8
云浮文旅,https://livestream.oeeee.com/slive/17807.m3u8
番禺新闻,http://video.epaper.pybtv.cn:8080/live/rtmp_live_demo.flv
杭州萧山综合,http://l.cztvcloud.com/channels/lantian/SXxiaoshan3/720p.m3u8
杭州余杭平安,http://l.cztvcloud.com/channels/lantian/SXyuhang2/720p.m3u8
宁波余姚生活,http://l.cztvcloud.com/channels/lantian/SXyuyao2/720p.m3u8
宁波象山综合,http://l.cztvcloud.com/channels/lantian/SXxiangshan1/720p.m3u8
衢州开化综合,http://l.cztvcloud.com/channels/lantian/SXkaihua1/720p.m3u8
衢州龙游生活,https://l.cztvcloud.com/channels/lantian/SXlongyou2/720p.m3u8
衢州龙游综合,https://l.cztvcloud.com/channels/lantian/SXlongyou1/720p.m3u8
衢州衢江综合,http://l.cztvcloud.com/channels/lantian/SXqujiang1/720p.m3u8
温州永嘉综合,http://l.cztvcloud.com/channels/lantian/SXyongjia1/720p.m3u8
绍兴嵊州综合,http://l.cztvcloud.com/channels/lantian/SXshengzhou1/720p.m3u8
金华东阳综合,http://l.cztvcloud.com/channels/lantian/SXdongyang1/720p.m3u8
金华兰溪综合,http://l.cztvcloud.com/channels/lantian/SXlanxi1/720p.m3u8
丽水缙云综合,http://l.cztvcloud.com/channels/lantian/SXjinyun1/720p.m3u8
丽水龙泉综合,http://l.cztvcloud.com/channels/lantian/SXlongquan1/720p.m3u8
丽水青田综合,http://l.cztvcloud.com/channels/lantian/SXqingtian1/720p.m3u8
丽水庆元综合,http://l.cztvcloud.com/channels/lantian/SXqingyuan1/720p.m3u8
丽水松阳综合,http://l.cztvcloud.com/channels/lantian/SXsongyang1/720p.m3u8
丽水遂昌综合,http://l.cztvcloud.com/channels/lantian/SXsuichang1/720p.m3u8
丽水云和综合,http://l.cztvcloud.com/channels/lantian/SXyunhe1/720p.m3u8
文成二套,http://l.cztvcloud.com/channels/lantian/SXwencheng2/720p.m3u8
舟山嵊泗综合,http://l.cztvcloud.com/channels/lantian/SXshengsi1/720p.m3u8
江苏连云港公共,http://live.lyg1.com/ggpd/sd/live.m3u8
江苏江阴新闻综合,http://221.228.70.101:8080/live/xinwen.m3u8
江苏武进新闻,https://live.wjyanghu.com/live/CH1.m3u8?zjiangsd
江苏武进生活,https://live.wjyanghu.com/live/CH2.m3u8?zjiangsd
江苏靖江新闻综合,http://visit.jjbctv.com:1935/live/xwzhmb/playlist.m3u8?zjiangsd
江苏镇江新闻综合,http://zjtv-wshls.homecdn.com/live/2aa50.m3u8
安徽影视,http://112.30.194.221:20080/live/d18ff95cb1fb4bbcb56215e189fc12be/hls.m3u8
安徽影视,http://112.30.194.221:20080/live/d18ff95cb1fb4bbcb56215e189fc12be.flv
滁州综合,http://live.cztv.cc:85/live/xwpd.m3u8
池州文教,http://wjsp.chiznews.com:8037/live/wjsh.m3u8
宿州新闻综合,http://live.ahsz.tv/video/s10001-szzh/index.m3u8
阜阳都市,http://41007.hlsplay.aodianyun.com/tv_radio_41007/tv_channel_2854.m3u8?auth_key=4835990545-0-0-80a02249988a1cd7a605401bb3a97442&extra_key=ohSJKJdeEa3QQlgmBxpudi6ezxha2e0nc6NZj3SHRORmaEFCgqd6yS2lGW3j-QQf56tTLDfQMDwAAnYcmDicXDRhX7-vqQx3Y2n2ERhE5FWfT3X--ob2iuEq3JtYdHC_ndaPCeOBQdXbH--HpXp2yu84RkSRTHg6mejJ52Qu7did-D4rWp9iydThnLbjeQ_1
阜阳教育,http://41007.hlsplay.aodianyun.com/tv_radio_41007/tv_channel_2852.m3u8?auth_key=4835990057-0-0-017419faa93529a4aa5fc283632732ca&extra_key=vQshsQkSOG1FT9Mb763SReA_ScJbWZE1GdTHuMtghVIye3UhXJWOF-WqFU3cuQ-uD1nO3QrpvlmEGnULzFj7L_nbUOgIFmahrvO-Mu8U3Rx4MRBSMj7QUjXKdwK-4_tfiHF9qHU4TLF_9Q9bpL7Sk2xp6AMy4uMlD3O5Hmrnu1w2QzhRwTPxeTmKO9iTZamR
固镇综合,http://www.guzhenm.com:7001/hls/hd-live.m3u8
岳西综合,http://112.30.194.221:20080/live/b62955a9283f4c2ea8ccb96e8ac468bc/hls.m3u8
固镇综合,http://www.guzhenm.com:7001/hls/hd-live.m3u8?zanhd
广西新闻,http://116.9.204.242:9901/tsfile/live/1001_1.m3u8
广西都市,http://116.9.204.242:9901/tsfile/live/1002_1.m3u8
广西综艺,http://116.9.204.242:9901/tsfile/live/0125_1.m3u8
广西影视,http://116.9.204.242:9901/tsfile/live/0124_1.m3u8
桂林新闻,https://pull.gltvs.com:443/live/glxw/playlist.m3u8?v=b0528684bf934e120e1c30fc808e6576&t=1796868188
桂林新闻,https://pull.gltvs.com/live/glxw/playlist.m3u8?v=b0528684bf934e120e1c30fc808e6576&t=1796868188
广西FM91.0 新闻910,http://ls.qingting.fm/live/1753.m3u8
广西FM93.0 私家车930,http://ls.qingting.fm/live/1756.m3u8
广西FM95.0 音乐,http://ls.qingting.fm/live/4875.m3u8
广西FM97.0 女主播电,http://ls.qingting.fm/live/1754.m3u8
武汉生活,http://stream.appwuhan.com/3tzb/sd/live.m3u8
武汉经济,http://stream.appwuhan.com/4tzb/sd/live.m3u8
武汉文体,http://stream.appwuhan.com/5tzb/sd/live.m3u8
武汉外语,http://stream.appwuhan.com/6tzb/sd/live.m3u8
武汉少儿,http://stream.appwuhan.com/7tzb/sd/live.m3u8
荆门科教文旅,http://stream.jmtv.com.cn/ggsh/sd/live.m3u8
荆门新闻,http://stream.jmtv.com.cn/xwzh/sd/live.m3u8?zhubd
十堰经济,https://p8.vzan.com/slowlive/701367497774448672/live.m3u8
宜昌综合,https://yichang-live21.cjyun.org/10091/10091-yczh.m3u8?auth_key=1735660799-0-0-152a9f6a201d7d56428feae52d4b18b8
三峡旅游,https://yichang-live21.cjyun.org/10091/s10091-ycly.m3u8?auth_key=1735660799-0-0-3232283b7b347bb21b712ea8398761d1
江夏新闻,http://59.175.226.142:280/gb28181/xwzh.m3u8
郸城新闻综合,http://live.dxhmt.cn:9081/tv/11625-1.m3u8
周口扶沟,http://live.dxhmt.cn:9081/tv/11621-1.m3u8
叶县电视,http://live.dxhmt.cn:9081/tv/10422-1.m3u8
义马电视,http://live.dxhmt.cn:9081/tv/11281-1.m3u8
兰考新闻,http://live.dxhmt.cn:9081/tv/10225-1.m3u8
开封公共,http://live.dxhmt.cn:9081/tv/10200-3.m3u8
新乡综合,http://live.dxhmt.cn:9081/tv/10721-1.m3u8
范县新闻综合,http://live.dxhmt.cn:9080/13603832636/13abd3089d9c47058fe34c49a6182981.m3u8
郑州教育,https://livezzutv.chinamcache.com/live/zb01.m3u8?auth_key=1677911572-0-0-f4af513ba8c09e7801f4700f1573be2c
承德新闻综合,https://jwliveqxzb.hebyun.com.cn/cdsxwzhtv/cdsxwzhtv.m3u8
承德公共生活,https://jwliveqxzb.hebyun.com.cn/cdsggshtv/cdsggshtv.m3u8
定州新闻综合,https://jwliveqxzb.hebyun.com.cn/xxzhpd/xxzhpd.m3u8
定州生活,https://jwliveqxzb.hebyun.com.cn/shpd/shpd.m3u8
涞水新闻,https://jwliveqxzb.hebyun.com.cn/lsdst/lsdst.m3u8
望都综合,https://jwliveqxzb.hebyun.com.cn/wddst/wddst.m3u8
平泉影视,https://jwliveqxzb.hebyun.com.cn/pqys/pqys.m3u8
平泉综合,https://jwliveqxzb.hebyun.com.cn/pqzh/pqzh.m3u8
鹿全综合,https://jwliveqxzb.hebyun.com.cn/luquanyi/luquanyi.m3u8?zhebd
定州国学影视,https://jwliveqxzb.hebyun.com.cn/yspd/yspd.m3u8
昌黎综合,https://jwliveqxzb.hebyun.com.cn/clzhpd/clzhpd.m3u8
丰宁综合,https://jwliveqxzb.hebyun.com.cn/fengningzonghe/fengningzonghe.m3u8
济宁新闻综合,http://lives.jnnews.tv/video/s10001-JNTV-1/index.m3u8
菏泽影视,http://live.hznet.tv:1935/live/live3/500K/tzwj_video.m3u8
青州文化旅游,http://sdqz.chinashadt.com:2036/live/stream:3.stream/playlist.m3u8
烟台影视,http://live.yantaitv.cn/live/e9f1d9045d474c31884d13fa4ffbbd16/a4a9b3704d854756907845107cc56129-1.m3u8
运城公共,http://live.0359tv.com/lsdream/t667aTY/1000/live.m3u8
晋城新闻,http://live.jinnews.com.cn/xwzh/sd/live.m3u8?zshanxd
晋城公共,http://live.jinnews.com.cn/ggpd/sd/live.m3u8?zshanxd
晋中新闻,http://jzlive.jztvnews.com:90/live/jzzh.m3u8
晋中公共,http://jzlive.jztvnews.com:90/live/jzgg.m3u8
壶关电视,http://zmjp3jin.live.sxmty.com/live/hls/268fe96f955d496db37fb10bb887cda9/fc196029d289449ea524a94a95379a0d.m3u8?zshanxd
武乡新闻综合1,http://60.220.198.84:81/0.m3u8
武乡新闻综合2,http://uzoiczhh.live.sxmty.com/live/hls/0d41f1480c4042d49927858f01fde707/53130407737b417b9a6259b57246bae3.m3u8
吉县电视,http://jxlive.jxrmtzx.com:8091/live/xwzh.m3u8
翼城综合,http://live.aiyicheng.com.cn/channel1/sd/live.m3u8?zshanxd
万州影视,http://wanzhoulive.cbg.cn:8017/d4ceB1a/1000/live.m3u8
万州影视,http://123.146.162.24:8013/tslslive/vWlnEzU/hls/live_sd.m3u8
德阳文旅科教,http://scdytv.cn:1935/live/m_ggpd_livevideo/playlist.m3u8
广安新闻综合,http://live1.gatv.com.cn:85/live/XWZH.m3u8
广安文旅乡村,http://live1.gatv.com.cn:85/live/GGPD_ggpdzm.m3u8
黑水新闻综合,http://live.schstv.com:90/live/xwzh.m3u8
会东综合,http://112.45.133.129:90/live/xwzh.m3u8
营山电视,http://file.ysxtv.cn/cms/videos/nmip-media/channellive/channel4/playlist.m3u8
万载综合,http://live-echotv.cdnvideo.ru/echotv/echotv.sdp/playlist.m3u8
武隆综合,https://qxlmlive9.cbg.cn/applive/wltvzh/playlist.m3u8
达州新闻综合,http://tv.drs.dzxw.net/channellive/xwzhpd-dz1.flv
达州文化生活,http://tv.drs.dzxw.net/channellive/ggpd-dz2.flv
达州通川,http://tv.drs.dzxw.net/channellive/tcpd-dz3.flv
泸州科教生活,http://m3u8.channel.luzhoubs.com/nmip-media/channellive/channel103074/playlist.m3u8
泸州新闻综合,http://m3u8.channel.luzhoubs.com/nmip-media/channellive/channel106011/playlist.m3u8
叙州综合,http://pili-live-hls.ybcxjd.com/jdh-live/2108111201035597.m3u8
影用仓库,https://wp.sqsq.net/view.php/8b3eea23e7bf605e907b2850b7a57815.mp4
什邡新闻,http://live.sfrmt.com:85/live/zhpd.m3u8
松潘新闻综合,http://live.spccmc.com:90/live/spxwzh.m3u8
自贡综合,http://110.189.153.160:1001/zhpd.flv
自贡文化生活,http://110.189.153.160:1002/ggpd.flv
麻栗坡,http://tvdrs.wsrtv.com.cn:8100/channellive/mlptv.flv
麻栗坡,http://m3u8.channel.wsrtv.com.cn/cms/videos/nmip-media/channellive/channel18/playlist.m3u8
丘北新闻综合,http://m3u8.channel.wsrtv.com.cn/cms/videos/nmip-media/channellive/channel14/playlist.m3u8
文山电视,http://m3u8.channel.wsrtv.com.cn/cms/videos/nmip-media/channellive/channel17/playlist.m3u8
文山公共,http://m3u8.channel.wsrtv.com.cn/cms/videos/nmip-media/channellive/channel8/playlist.m3u8
文山综合,http://tvdrs.wsrtv.com.cn:8100/channellive/ch1.flv
文山综合,http://m3u8.channel.wsrtv.com.cn/cms/videos/nmip-media/channellive/channel7/playlist.m3u8
砚山,http://m3u8.channel.wsrtv.com.cn/cms/videos/nmip-media/channellive/channel16/playlist.m3u8
奎屯汉语综合,http://218.84.12.186:8001/hls/main/playlist.m3u8
可克达拉综合,http://test5.btzx.com.cn/live/kkdl.stream/playlist.m3u8
松桃新闻,http://live.strmtzx.cn/stxw/sd/live.m3u8
七星关电视,https://p8.vzan.com:443/slowlive/147077707554082780/live.m3u8
民和综合,http://livecdn.dmqhyadmin.com/hls/xjminhe.m3u8
大通电视,http://dtrmlive.qhdtrm.cn/testpush/sd/live.m3u8
湟中电视,http://livecdn.dmqhyadmin.com/hls/xjhuangzhong.m3u8
兴海综合,http://lived.dmqhyadmin.com/xhzhpd/sd/live.m3u8
武威综合,https://play.kankanlive.com/live/1693539781636986.m3u8
酒泉文旅,https://play.kankanlive.com/live/1702036477193973.m3u8
敦煌,https://play.kankanlive.com/live/1698234808271963.m3u8
白银文教,https://play.kankanlive.com/live/1720408280309109.m3u8
定西文旅,https://play.kankanlive.com/live/1707482307440963.m3u8
永昌综合,https://play.kankanlive.com/live/1652755738635915.m3u8
陇南公共,https://play.kankanlive.com/live/1709171893138901.m3u8
陇南综合,https://play.kankanlive.com/live/1709171819929902.m3u8
平凉综合,https://play.kankanlive.com/live/1694661314645984.m3u8
庆阳综合,https://play.kankanlive.com/live/1700643403411931.m3u8
庆阳文旅,https://play.kankanlive.com/live/1700643349159930.m3u8
甘南夏河,https://play.kankanlive.com/live/1718872789499909.m3u8
甘南卓尼,https://play.kankanlive.com/live/1711955964973985.m3u8
甘南迭部,https://play.kankanlive.com/live/1711955827175988.m3u8
舟曲综合,https://play.kankanlive.com/live/1711956058188984.m3u8
张掖综合,http://play.kankanlive.com/live/1720583434627241.m3u8
张掖农旅,http://play.kankanlive.com/live/1720583009200246.m3u8
甘州综合,https://play.kankanlive.com/live/1656898082155960.m3u8
清水综合,https://play.kankanlive.com/live/1724065906329286.m3u8
渭源综合,https://play.kankanlive.com/live/1701943385631927.m3u8
兰州兰石,http://play.kankanlive.com/live/1679470864707966.m3u8
庄浪综合,https://play.kankanlive.com/live/1687654127961989.m3u8
会宁综合,https://play.kankanlive.com/live/1721783897283302.m3u8
武夷山综合,http://fjwysdb.chinashadt.com:2036/live/1.stream/playlist.m3u8
武夷山文旅茶,http://fjwysdb.chinashadt.com:2036/live/3.stream/playlist.m3u8
漳州新闻,http://31182.hlsplay.aodianyun.com/lms_31182/tv_channel_175.m3u8
宁化综合,http://fjnhdb.chinashadt.com:2036/live/stream:nh1.stream/playlist.m3u8
福州新闻,http://live.zohi.tv/video/s10001-fztv-1/index.m3u8
西藏藏语卫视,http://php.jdshipin.com:8880/xztv.php?id=zy
西藏影视文化,http://php.jdshipin.com:8880/xztv.php?id=ys
石河子新闻综合,http://124.88.144.73:1935/live/xwzh/playlist.m3u8
五师综合,http://liveout.btzx.com.cn/62ds9e/4nxdih.m3u8
五师双河,http://liveout.btzx.com.cn/62ds9e/6o77s4.m3u8
五家渠综合,https://liveout.btzx.com.cn/62ds9e/d9vi5g.m3u8
胡杨河新闻综合,http://klmysjtzb.rcsxzx.com/hls/qishi1.m3u8
新星综合,http://test5.btzx.com.cn/live/13TV.stream/playlist.m3u8
克拉玛依影视剧场,http://klmysjtzb.rcsxzx.com/hls/klmy3.m3u8
嘉定电视,https://pili-live-hls.wdit.com.cn/wditlive/15472c98517744b994e85c9c60cc93cf6a3b.m3u8
崇明电视,https://pili-live-hls.wdit.com.cn/wditlive/c038f4fafbdf4f97ba74c74ad67259b931ee.m3u8
辉南综合,http://stream5.jlntv.cn/hn/sd/live.m3u8
东辽综合,http://stream5.jlntv.cn/dl/sd/live.m3u8
通化综合,http://stream5.jlntv.cn/thx/sd/live.m3u8
东丰综合,http://stream5.jlntv.cn/df/sd/live.m3u8
舒兰综合,http://stream8.jlntv.cn/shulan/sd/live.m3u8
江源综合,http://stream10.jlntv.cn/jiangyuantv/sd/live.m3u8
双阳综合,http://stream11.jlntv.cn/shuangyang/sd/live.m3u8
直播-1,http://111.13.111.242/000000001000/3000000001000005308/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
直播-2,http://111.13.111.242/000000001000/3000000001000005969/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
直播-3,http://111.13.111.242/000000001000/3000000001000007218/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
直播-4,http://111.13.111.242/000000001000/3000000001000008001/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
直播-5,http://111.13.111.242/000000001000/3000000001000008176/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
直播-6,http://111.13.111.242/000000001000/3000000001000008379/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
直播-7,http://111.13.111.242/000000001000/3000000001000010129/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
直播-8,http://111.13.111.242/000000001000/3000000001000010948/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
直播-10,http://111.13.111.242/000000001000/3000000001000028638/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
直播-11,http://111.13.111.242/000000001000/3000000001000031494/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
直播-12,http://111.13.111.242/000000001000/3000000010000000097/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
直播-13,http://111.13.111.242/000000001000/3000000010000002019/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
